sku,instanceType,vcpu,memory,storage,operatingSystem,marketoption,regionCode
N/A,m6id.large,2,8 GiB,1 x 118 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7g.8xlarge,32,128 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,r6id.2xlarge,8,64 GiB,1 x 474 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,i3en.large,2,16 GiB,1 x 1250 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,i4i.large,2,16 GiB,1 x 468 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r7i.12xlarge,48,384 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,x2iedn.xlarge,4,128 GiB,1 x 118 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,x2idn.32xlarge,128,2048 GiB,2 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c7i.xlarge,4,8 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.12xlarge,48,192 GiB,2 x 1425 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.16xlarge,64,512 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.12xlarge,48,96 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m7g.16xlarge,64,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.24xlarge,96,384 GiB,4 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r7g.medium,1,8 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6id.16xlarge,64,512 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m7i.12xlarge,48,192 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c6id.xlarge,4,8 GiB,1 x 237 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m7i-flex.xlarge,4,16 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r7g.4xlarge,16,128 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7i.24xlarge,96,192 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,r7i.16xlarge,64,512 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c7i.xlarge,4,8 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,x2idn.24xlarge,96,1536 GiB,2 x 1425 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7g.large,2,8 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,c6g.xlarge,4,8 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6i.2xlarge,8,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7gd.4xlarge,16,128 GiB,1 x 950 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6id.2xlarge,8,16 GiB,1 x 474 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c7gd.metal,64,128 GiB,2 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6i.large,2,8 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6id.32xlarge,128,1024 GiB,4 x 1900 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r6id.xlarge,4,32 GiB,1 x 237 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i4i.32xlarge,128,1024 GiB,8 x 3750 SSD,RHEL,OnDemand,ap-southeast-5
N/A,i3en.12xlarge,48,384 GiB,4 x 7500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6id.xlarge,4,32 GiB,1 x 237 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m6i.32xlarge,128,512 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6id.8xlarge,32,128 GiB,1 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6id.2xlarge,8,16 GiB,1 x 474 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6id.24xlarge,96,768 GiB,4 x 1425 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c7i-flex.4xlarge,16,32 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6i.metal,128,1024 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6in.24xlarge,96,192 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6i.8xlarge,32,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6g.12xlarge,48,96 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6id.12xlarge,48,96 GiB,2 x 1425 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i4i.16xlarge,64,512 GiB,4 x 3750 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c7i.16xlarge,64,128 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,i4i.metal,128,1024 GiB,8 x 3750 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m7gd.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r6i.12xlarge,48,384 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6id.metal,128,256 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6i.metal,128,512 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6gn.xlarge,4,8 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,x2idn.32xlarge,128,2048 GiB,2 x 1900 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r7g.metal,64,512 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6id.metal,128,256 GiB,4 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c7i.12xlarge,48,96 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6id.16xlarge,64,512 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,i4i.24xlarge,96,768 GiB,6 x 3750 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.xlarge,4,16 GiB,1 x 237 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6i.xlarge,4,16 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,x2iedn.24xlarge,96,3072 GiB,2 x 1425 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6g.2xlarge,8,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6id.4xlarge,16,128 GiB,1 x 950 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m7g.8xlarge,32,128 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,m6id.xlarge,4,16 GiB,1 x 237 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6id.24xlarge,96,192 GiB,4 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6i.large,2,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6id.16xlarge,64,128 GiB,2 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6i.xlarge,4,32 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.16xlarge,64,128 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m6i.4xlarge,16,64 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,x2idn.metal,128,2048 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6id.large,2,4 GiB,1 x 118 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6id.16xlarge,64,512 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6id.32xlarge,128,256 GiB,4 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.metal-24xl,96,768 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.32xlarge,128,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7i.4xlarge,16,64 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,x2iedn.32xlarge,128,4096 GiB,2 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6gn.8xlarge,32,64 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.32xlarge,128,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6id.xlarge,4,8 GiB,1 x 237 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6gn.16xlarge,64,128 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r7i.4xlarge,16,128 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6in.4xlarge,16,32 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6id.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6i.12xlarge,48,96 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6g.12xlarge,48,192 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6i.8xlarge,32,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.2xlarge,8,32 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.8xlarge,32,128 GiB,1 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6id.12xlarge,48,384 GiB,2 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i3en.2xlarge,8,64 GiB,2 x 2500 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r6i.24xlarge,96,768 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,i3en.6xlarge,24,192 GiB,2 x 7500 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r6i.xlarge,4,32 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,t3.2xlarge,8,32 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,r7g.large,2,16 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.24xlarge,96,768 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6id.metal,128,256 GiB,4 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6g.large,2,16 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i4i.24xlarge,96,768 GiB,6 x 3750 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,x2iedn.32xlarge,128,4096 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m6i.16xlarge,64,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.4xlarge,16,64 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m6i.2xlarge,8,32 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6gn.2xlarge,8,16 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,m6i.xlarge,4,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7i.metal-48xl,192,1536 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7gd.metal,64,256 GiB,2 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6i.4xlarge,16,32 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i4i.16xlarge,64,512 GiB,4 x 3750 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,c7i.metal-24xl,96,192 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7i.4xlarge,16,64 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.2xlarge,8,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6i.4xlarge,16,64 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6id.metal,128,256 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6i.large,2,4 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7i.2xlarge,8,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.12xlarge,48,192 GiB,2 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6i.xlarge,4,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c7i.8xlarge,32,64 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,i4i.large,2,16 GiB,1 x 468 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6id.large,2,4 GiB,1 x 118 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.24xlarge,96,384 GiB,4 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6i.metal,128,512 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m7i.xlarge,4,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6in.4xlarge,16,32 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6id.4xlarge,16,128 GiB,1 x 950 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6id.32xlarge,128,256 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6gn.8xlarge,32,64 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r6id.32xlarge,128,1024 GiB,4 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r7g.2xlarge,8,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7i.16xlarge,64,512 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,c6i.2xlarge,8,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c7gd.large,2,4 GiB,1 x 118 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,i4i.8xlarge,32,256 GiB,2 x 3750 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.metal,128,512 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,x2iedn.metal,128,4096 GiB,2 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i-flex.2xlarge,8,32 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m6id.2xlarge,8,32 GiB,1 x 474 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7g.large,2,8 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m6g.12xlarge,48,192 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i4i.large,2,16 GiB,1 x 468 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6i.4xlarge,16,64 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m7i.xlarge,4,16 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7gd.2xlarge,8,32 GiB,1 x 475 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m7g.16xlarge,64,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i3en.3xlarge,12,96 GiB,1 x 7500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,g6.16xlarge,64,256 GiB,2 x 940 GB NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c7i.48xlarge,192,384 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i3en.2xlarge,8,64 GiB,2 x 2500 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,m6id.12xlarge,48,192 GiB,2 x 1425 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r7i.large,2,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6id.large,2,8 GiB,1 x 118 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,x2idn.metal,128,2048 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7gd.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c7i.metal-24xl,96,192 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6id.xlarge,4,32 GiB,1 x 237 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r7i.2xlarge,8,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,i3en.6xlarge,24,192 GiB,2 x 7500 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m6id.32xlarge,128,512 GiB,4 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r7i.8xlarge,32,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.xlarge,4,16 GiB,1 x 237 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6i.xlarge,4,8 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6i.4xlarge,16,128 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.24xlarge,96,384 GiB,4 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6g.metal,64,128 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r7i.xlarge,4,32 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.8xlarge,32,128 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,i4i.16xlarge,64,512 GiB,4 x 3750 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.12xlarge,48,192 GiB,2 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,g6.12xlarge,48,192 GiB,4 X 940 GB NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c7gd.12xlarge,48,96 GiB,2 x 1425 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,i4i.24xlarge,96,768 GiB,6 x 3750 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c7gd.xlarge,4,8 GiB,1 x 237 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,x2iedn.2xlarge,8,256 GiB,1 x 237 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,x2iedn.8xlarge,32,1024 GiB,1 x 950 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6id.12xlarge,48,96 GiB,2 x 1425 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m7i.metal-48xl,192,768 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7i.xlarge,4,32 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6g.16xlarge,64,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r7i.metal-48xl,192,1536 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c7i.large,2,4 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.8xlarge,32,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6i.2xlarge,8,64 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,x2iedn.24xlarge,96,3072 GiB,2 x 1425 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6id.32xlarge,128,1024 GiB,4 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,t4g.2xlarge,8,32 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,i3en.24xlarge,96,768 GiB,8 x 7500 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7i.metal-48xl,192,768 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c6id.2xlarge,8,16 GiB,1 x 474 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c7i-flex.16xlarge,64,128 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6id.24xlarge,96,384 GiB,4 x 1425 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6g.12xlarge,48,384 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6in.8xlarge,32,64 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6in.32xlarge,128,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r7i.24xlarge,96,768 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i3en.6xlarge,24,192 GiB,2 x 7500 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m6g.metal,64,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.2xlarge,8,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6in.xlarge,4,8 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c7gd.8xlarge,32,64 GiB,1 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,t3.xlarge,4,16 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7gd.8xlarge,32,64 GiB,1 x 1900 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r7i.24xlarge,96,768 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m6g.8xlarge,32,128 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6i.metal,128,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m6i.24xlarge,96,384 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,m7i.4xlarge,16,64 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6id.12xlarge,48,96 GiB,2 x 1425 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,m6i.2xlarge,8,32 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,t3.2xlarge,8,32 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,m7gd.xlarge,4,16 GiB,1 x 237 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,x2iedn.4xlarge,16,512 GiB,1 x 475 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6gd.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,x2iedn.4xlarge,16,512 GiB,1 x 475 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6g.12xlarge,48,192 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m6i.32xlarge,128,512 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,x2idn.metal,128,2048 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c7i-flex.2xlarge,8,16 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.12xlarge,48,192 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m7i-flex.16xlarge,64,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6id.32xlarge,128,256 GiB,4 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c6i.32xlarge,128,256 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r7i.2xlarge,8,64 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6id.16xlarge,64,128 GiB,2 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,r7i.large,2,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,x2idn.16xlarge,64,1024 GiB,1 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6g.metal,64,256 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c6in.2xlarge,8,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6id.8xlarge,32,256 GiB,1 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m6i.2xlarge,8,32 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6id.2xlarge,8,64 GiB,1 x 474 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m7g.metal,64,256 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,c6id.12xlarge,48,96 GiB,2 x 1425 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7gd.large,2,4 GiB,1 x 118 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.8xlarge,32,128 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c6in.large,2,4 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6i.24xlarge,96,192 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r7g.xlarge,4,32 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,x2iedn.4xlarge,16,512 GiB,1 x 475 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.12xlarge,48,192 GiB,2 x 1425 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.large,2,8 GiB,1 x 118 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6g.xlarge,4,32 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6id.4xlarge,16,64 GiB,1 x 950 NVMe SSD,Linux,OnDemand,ap-southeast-5
